pid,L1_prime,LX_target,stim_pair,condition,referent,translation,congruence,response,rt
1001,img_koza,rocepra,img_koza-rocepra,III,image,mismatch,incongruent,correct,1.0636199000000488
1001,papryka,lalum,papryka-lalum,OCC,orthography,match,congruent,correct,0.6193361000041477
1001,dynia,tobyla,dynia-tobyla,OII,orthography,mismatch,incongruent,correct,0.8407370999921113
1001,stopa,beler,stopa-beler,OIC,orthography,mismatch,congruent,correct,0.9414984999893932
1001,img_ryba,nalet,img_ryba-nalet,IIC,image,mismatch,congruent,correct,0.8302677
1001,img_osa,lalum,img_osa-lalum,III,image,mismatch,incongruent,correct,0.7640837999933865
1001,cebula,staca,cebula-staca,OCC,orthography,match,congruent,incorrect,1.1170505000045523
1001,fartuch,izodo,fartuch-izodo,OCI,orthography,match,incongruent,incorrect,1.070228299999144
1001,img_kolano,ostana,img_kolano-ostana,ICC,image,match,congruent,correct,0.7057634999946458
1001,img_oko,sodem,img_oko-sodem,ICI,image,match,incongruent,correct,0.6680185000004712
1001,wyspa,josta,wyspa-josta,OII,orthography,mismatch,incongruent,correct,0.7116269000107422
1001,img_koza,rojon,img_koza-rojon,ICI,image,match,incongruent,correct,1.0338137000071583
1001,img_kotwica,fena,img_kotwica-fena,III,image,mismatch,incongruent,correct,0.8392095000017434
1001,papuga,wema,papuga-wema,OCI,orthography,match,incongruent,correct,0.6861204000015277
1001,img_dynia,tobyla,img_dynia-tobyla,IIC,image,mismatch,congruent,correct,0.6557323000015458
1001,img_winda,debota,img_winda-debota,ICC,image,match,congruent,correct,0.5886369999934686
1001,mewa,lazin,mewa-lazin,OIC,orthography,mismatch,congruent,correct,0.89154
1001,torba,owiza,torba-owiza,OII,orthography,mismatch,incongruent,correct,0.8143005000019912
1001,owca,techar,owca-techar,OCC,orthography,match,congruent,correct,0.5478890999947907
1001,img_krawat,tanek,img_krawat-tanek,III,image,mismatch,incongruent,correct,0.8124086999887368
1001,ziemniak,lazin,ziemniak-lazin,OIC,orthography,mismatch,congruent,correct,0.6832041000016034
1001,homar,deba,homar-deba,OCC,orthography,match,congruent,correct,0.5890312000119593
1001,winda,debota,winda-debota,OCI,orthography,match,incongruent,correct,0.7953686999971978
1001,img_cytryna,beler,img_cytryna-beler,ICI,image,match,incongruent,correct,0.9627187000005506
1001,img_krowa,nuketo,img_krowa-nuketo,ICC,image,match,congruent,correct,0.7389264
1001,papuga,abedo,papuga-abedo,OII,orthography,mismatch,incongruent,correct,0.6760511999891605
1001,img_kolano,obir,img_kolano-obir,IIC,image,mismatch,congruent,correct,0.7189874000032432
1001,img_stopa,beler,img_stopa-beler,III,image,mismatch,incongruent,correct,0.8723576000047615
1001,skarpetka,seranak,skarpetka-seranak,OCC,orthography,match,congruent,correct,0.6371214999962831
1001,oko,pekom,oko-pekom,OIC,orthography,mismatch,congruent,incorrect,0.8340183999971487
1001,img_mewa,tanek,img_mewa-tanek,ICI,image,match,incongruent,correct,0.9649820000049658
1001,kolano,ostana,kolano-ostana,OCI,orthography,match,incongruent,correct,0.8213134999969043
1001,img_kapelusz,stotewal,img_kapelusz-stotewal,ICC,image,match,congruent,correct,0.7313607999967644
1001,img_winda,nalet,img_winda-nalet,IIC,image,mismatch,congruent,correct,0.6443004
1001,kapelusz,izodo,kapelusz-izodo,OII,orthography,mismatch,incongruent,correct,0.5218979999917792
1001,cytryna,beler,cytryna-beler,OCC,orthography,match,congruent,correct,0.7794753999914974
1001,img_lalka,abuset,img_lalka-abuset,IIC,image,mismatch,congruent,correct,0.5138420000002952
1001,krowa,lakob,krowa-lakob,OII,orthography,mismatch,incongruent,correct,0.7816355999966618
1001,samolot,beler,samolot-beler,OIC,orthography,mismatch,congruent,correct,0.9331128
1001,img_ziemniak,pekom,img_ziemniak-pekom,ICI,image,match,incongruent,correct,0.7343494999950053
1001,img_indyk,rojon,img_indyk-rojon,III,image,mismatch,incongruent,correct,0.5590186000044923
1001,img_dzwonek,josta,img_dzwonek-josta,ICC,image,match,congruent,correct,0.3911550999910105
1001,jajko,nalet,jajko-nalet,OCI,orthography,match,incongruent,correct,0.4461737999954493
1001,kaczka,obir,kaczka-obir,OCI,orthography,match,incongruent,incorrect,1.197445800004061
1001,img_kaczka,obir,img_kaczka-obir,ICC,image,match,congruent,incorrect,1.2600098999973852
1001,stopa,uwa,stopa-uwa,OCC,orthography,match,congruent,correct,1.1039630999875951
1001,cytryna,pakosta,cytryna-pakosta,OIC,orthography,mismatch,congruent,correct,0.7617226
1001,img_zegarek,ezaja,img_zegarek-ezaja,III,image,mismatch,incongruent,correct,0.6963800999947125
1001,foka,obir,foka-obir,OII,orthography,mismatch,incongruent,correct,0.6686804000055417
1001,img_stopa,uwa,img_stopa-uwa,ICI,image,match,incongruent,correct,0.7762536999944132
1001,img_torba,owiza,img_torba-owiza,IIC,image,mismatch,congruent,correct,0.6727193999977317
1001,cebula,sawiko,cebula-sawiko,OIC,orthography,mismatch,congruent,correct,0.8040678
1001,mewa,tanek,mewa-tanek,OCC,orthography,match,congruent,correct,0.3915084999898681
1001,img_owca,rocepra,img_owca-rocepra,III,image,mismatch,incongruent,correct,0.8369521999993594
1001,img_wyspa,josta,img_wyspa-josta,IIC,image,mismatch,congruent,correct,0.7064689000108046
1001,img_dynia,abuset,img_dynia-abuset,ICC,image,match,congruent,correct,0.9895813000039198
1001,lalka,abuset,lalka-abuset,OII,orthography,mismatch,incongruent,correct,0.7962161999894306
1001,img_krawat,lazin,img_krawat-lazin,ICI,image,match,incongruent,correct,0.6839183999982197
1001,lalka,abedo,lalka-abedo,OCI,orthography,match,incongruent,correct,0.7193257999897469
1001,palec,abuset,palec-abuset,OII,orthography,mismatch,incongruent,correct,0.6246463
1001,homar,staca,homar-staca,OIC,orthography,mismatch,congruent,correct,0.6299388000043109
1001,img_dzwonek,owiza,img_dzwonek-owiza,IIC,image,mismatch,congruent,correct,0.7543182999943383
1001,img_ziemniak,lazin,img_ziemniak-lazin,III,image,mismatch,incongruent,correct,0.6843616999976803
1001,ucho,honisa,ucho-honisa,OCI,orthography,match,incongruent,correct,0.9505268
1001,krawat,lazin,krawat-lazin,OCC,orthography,match,congruent,correct,0.6156296999979531
1001,img_butelka,chepra,img_butelka-chepra,ICI,image,match,incongruent,correct,0.6368164000014076
1001,img_foka,nedonim,img_foka-nedonim,ICC,image,match,congruent,correct,0.5868920999928378
1001,indyk,nanoch,indyk-nanoch,OCC,orthography,match,congruent,correct,0.657576
1001,img_skarpetka,seranak,img_skarpetka-seranak,ICI,image,match,incongruent,correct,0.8286285999929532
1001,img_papryka,sawiko,img_papryka-sawiko,III,image,mismatch,incongruent,correct,0.5948253999958979
1001,img_wyspa,owiza,img_wyspa-owiza,ICC,image,match,congruent,correct,0.9149259
1001,img_jajko,debota,img_jajko-debota,IIC,image,mismatch,congruent,correct,0.6770608000078937
1001,dzwonek,owiza,dzwonek-owiza,OII,orthography,mismatch,incongruent,correct,0.6410106999974232
1001,skarpetka,prelata,skarpetka-prelata,OIC,orthography,mismatch,congruent,correct,0.7974703000072623
1001,lotnisko,badipret,lotnisko-badipret,OCI,orthography,match,incongruent,correct,0.5475780999986455
1001,osa,sawiko,osa-sawiko,OCC,orthography,match,congruent,correct,1.0518883999902755
1001,lotnisko,alo,lotnisko-alo,OII,orthography,mismatch,incongruent,correct,0.6875526999938302
1001,img_parasol,izodo,img_parasol-izodo,IIC,image,mismatch,congruent,correct,0.8583536999940407
1001,img_silnik,prelata,img_silnik-prelata,ICI,image,match,incongruent,correct,0.5355132999975467
1001,wyspa,owiza,wyspa-owiza,OCI,orthography,match,incongruent,correct,0.6235192000021925
1001,img_silnik,fena,img_silnik-fena,III,image,mismatch,incongruent,correct,0.6383392999996431
1001,img_ryba,alo,img_ryba-alo,ICC,image,match,congruent,correct,0.6838161000050604
1001,gazeta,techar,gazeta-techar,OIC,orthography,mismatch,congruent,correct,0.7669828999933088
1001,img_zegarek,ezaja,img_zegarek-ezaja,III,image,mismatch,incongruent,correct,0.7284301000036066
1001,img_stopa,uwa,img_stopa-uwa,ICI,image,match,incongruent,correct,0.7703258
1001,foka,obir,foka-obir,OII,orthography,mismatch,incongruent,correct,0.6267621
1001,img_kaczka,obir,img_kaczka-obir,ICC,image,match,congruent,correct,0.7759032999892952
1001,stopa,uwa,stopa-uwa,OCC,orthography,match,congruent,correct,0.7280604999978095
1001,cytryna,pakosta,cytryna-pakosta,OIC,orthography,mismatch,congruent,correct,0.6648603000066942
1001,kaczka,obir,kaczka-obir,OCI,orthography,match,incongruent,correct,0.5961766999971587
1001,img_torba,owiza,img_torba-owiza,IIC,image,mismatch,congruent,correct,0.7384852999966824
1001,img_jajko,debota,img_jajko-debota,IIC,image,mismatch,congruent,correct,0.8992341999983182
1001,img_papryka,sawiko,img_papryka-sawiko,III,image,mismatch,incongruent,correct,0.6236340000032214
1001,img_skarpetka,seranak,img_skarpetka-seranak,ICI,image,match,incongruent,correct,0.7965492999937851
1001,skarpetka,prelata,skarpetka-prelata,OIC,orthography,mismatch,congruent,correct,0.6762623000104213
1001,indyk,nanoch,indyk-nanoch,OCC,orthography,match,congruent,correct,0.5753472999931546
1001,dzwonek,owiza,dzwonek-owiza,OII,orthography,mismatch,incongruent,correct,0.6383493000030285
1001,img_wyspa,owiza,img_wyspa-owiza,ICC,image,match,congruent,correct,0.6027708000037819
1001,lotnisko,badipret,lotnisko-badipret,OCI,orthography,match,incongruent,correct,0.3929993
1001,dynia,abuset,dynia-abuset,OCI,orthography,match,incongruent,correct,0.7596026
1001,kotwica,fena,kotwica-fena,OIC,orthography,mismatch,congruent,correct,0.7432541000016499
1001,img_cebula,staca,img_cebula-staca,ICI,image,match,incongruent,incorrect,0.7592875999980606
1001,img_palec,abuset,img_palec-abuset,IIC,image,mismatch,congruent,correct,0.8171770999906585
1001,img_ucho,honisa,img_ucho-honisa,ICC,image,match,congruent,correct,0.4627170999883674
1001,img_samolot,beler,img_samolot-beler,III,image,mismatch,incongruent,correct,0.7227237000042805
1001,zegarek,fena,zegarek-fena,OCC,orthography,match,congruent,correct,0.7090832999965642
1001,lustro,ostana,lustro-ostana,OII,orthography,mismatch,incongruent,incorrect,1.126868799998192
1001,oko,sodem,oko-sodem,OCC,orthography,match,congruent,correct,0.4805555999919306
1001,img_fartuch,ota,img_fartuch-ota,IIC,image,mismatch,congruent,correct,0.6824733000103151
1001,img_cebula,sawiko,img_cebula-sawiko,III,image,mismatch,incongruent,correct,1.4695282999891788
1001,img_lalka,abedo,img_lalka-abedo,ICC,image,match,congruent,correct,0.6256102
1001,img_owca,techar,img_owca-techar,ICI,image,match,incongruent,correct,0.5677963000052841
1001,lustro,waben,lustro-waben,OCI,orthography,match,incongruent,correct,0.6235552999860374
1001,parasol,izodo,parasol-izodo,OII,orthography,mismatch,incongruent,correct,0.7085828
1001,osa,lalum,osa-lalum,OIC,orthography,mismatch,congruent,correct,0.7994820000021718
1001,img_owca,rocepra,img_owca-rocepra,III,image,mismatch,incongruent,correct,0.4687408000027062
1001,img_krawat,lazin,img_krawat-lazin,ICI,image,match,incongruent,correct,0.5693664999998873
1001,mewa,tanek,mewa-tanek,OCC,orthography,match,congruent,correct,0.6250655999901937
1001,lalka,abuset,lalka-abuset,OII,orthography,mismatch,incongruent,correct,0.5739396999997552
1001,img_wyspa,josta,img_wyspa-josta,IIC,image,mismatch,congruent,correct,0.5976528000028338
1001,lalka,abedo,lalka-abedo,OCI,orthography,match,incongruent,correct,0.6529114999866579
1001,img_dynia,abuset,img_dynia-abuset,ICC,image,match,congruent,correct,0.6570632999937516
1001,cebula,sawiko,cebula-sawiko,OIC,orthography,mismatch,congruent,correct,0.7333979999966687
1001,img_kotwica,fena,img_kotwica-fena,III,image,mismatch,incongruent,correct,0.7417884
1001,owca,techar,owca-techar,OCC,orthography,match,congruent,correct,0.5348900999961188
1001,torba,owiza,torba-owiza,OII,orthography,mismatch,incongruent,correct,0.8637583000090672
1001,mewa,lazin,mewa-lazin,OIC,orthography,mismatch,congruent,correct,1.067333699989831
1001,img_dynia,tobyla,img_dynia-tobyla,IIC,image,mismatch,congruent,correct,0.6387557999987621
1001,papuga,wema,papuga-wema,OCI,orthography,match,incongruent,correct,0.8206590000045253
1001,img_koza,rojon,img_koza-rojon,ICI,image,match,incongruent,correct,0.7374529000080656
1001,img_winda,debota,img_winda-debota,ICC,image,match,congruent,correct,0.6112834999948973
1001,koza,rocepra,koza-rocepra,OIC,orthography,mismatch,congruent,correct,0.6175672
1001,ucho,stotewal,ucho-stotewal,OII,orthography,mismatch,incongruent,correct,0.7658003000105964
1001,img_kaczka,nedonim,img_kaczka-nedonim,IIC,image,mismatch,congruent,correct,0.6226749000052223
1001,img_oko,pekom,img_oko-pekom,III,image,mismatch,incongruent,correct,0.6121842999855289
1001,img_lotnisko,badipret,img_lotnisko-badipret,ICC,image,match,congruent,correct,0.5793730999866966
1001,gazeta,rocepra,gazeta-rocepra,OCC,orthography,match,congruent,correct,0.5862964999978431
1001,kapelusz,stotewal,kapelusz-stotewal,OCI,orthography,match,incongruent,correct,0.6725232000026153
1001,img_kotwica,ezaja,img_kotwica-ezaja,ICI,image,match,incongruent,correct,0.6353773000009824
1001,img_osa,sawiko,img_osa-sawiko,ICI,image,match,incongruent,incorrect,0.5691818999912357
1001,ziemniak,pekom,ziemniak-pekom,OCC,orthography,match,congruent,correct,0.4736679
1001,img_foka,obir,img_foka-obir,IIC,image,mismatch,congruent,correct,0.6204693
1001,jajko,debota,jajko-debota,OII,orthography,mismatch,incongruent,correct,0.6826110999973025
1001,img_torba,lakob,img_torba-lakob,ICC,image,match,congruent,correct,0.6936473999958253
1001,img_skarpetka,prelata,img_skarpetka-prelata,III,image,mismatch,incongruent,correct,0.6484010999993188
1001,torba,lakob,torba-lakob,OCI,orthography,match,incongruent,correct,0.5347211999905994
1001,owca,rocepra,owca-rocepra,OIC,orthography,mismatch,congruent,correct,0.5988388999976451
1001,img_winda,nalet,img_winda-nalet,IIC,image,mismatch,congruent,correct,0.7413559999986319
1001,img_kapelusz,stotewal,img_kapelusz-stotewal,ICC,image,match,congruent,correct,0.4614544000069145
1001,skarpetka,seranak,skarpetka-seranak,OCC,orthography,match,congruent,correct,0.4256763000012142
1001,img_mewa,tanek,img_mewa-tanek,ICI,image,match,incongruent,correct,0.6543660000024829
1001,kapelusz,izodo,kapelusz-izodo,OII,orthography,mismatch,incongruent,correct,0.6512400999927195
1001,img_stopa,beler,img_stopa-beler,III,image,mismatch,incongruent,correct,0.5506833
1001,kolano,ostana,kolano-ostana,OCI,orthography,match,incongruent,correct,0.5044141999969725
1001,oko,pekom,oko-pekom,OIC,orthography,mismatch,congruent,correct,0.81788
1001,img_foka,nedonim,img_foka-nedonim,ICC,image,match,congruent,correct,0.4468972999893594
1001,ucho,honisa,ucho-honisa,OCI,orthography,match,incongruent,correct,0.4514039999921806
1001,img_butelka,chepra,img_butelka-chepra,ICI,image,match,incongruent,correct,0.5597744999977294
1001,img_dzwonek,owiza,img_dzwonek-owiza,IIC,image,mismatch,congruent,correct,0.6003226999891922
1001,krawat,lazin,krawat-lazin,OCC,orthography,match,congruent,correct,0.535053
1001,palec,abuset,palec-abuset,OII,orthography,mismatch,incongruent,correct,0.6632341
1001,homar,staca,homar-staca,OIC,orthography,mismatch,congruent,correct,0.6271659000049112
1001,img_ziemniak,lazin,img_ziemniak-lazin,III,image,mismatch,incongruent,correct,0.6320481000002474
1001,wyspa,josta,wyspa-josta,OII,orthography,mismatch,incongruent,correct,0.5463227999862283
1001,stopa,beler,stopa-beler,OIC,orthography,mismatch,congruent,correct,0.5707196000003023
1001,fartuch,izodo,fartuch-izodo,OCI,orthography,match,incongruent,correct,0.6174456000007922
1001,cebula,staca,cebula-staca,OCC,orthography,match,congruent,correct,0.5346575000003213
1001,img_kolano,ostana,img_kolano-ostana,ICC,image,match,congruent,correct,0.4156477000069571
1001,img_oko,sodem,img_oko-sodem,ICI,image,match,incongruent,correct,0.7885193999973126
1001,img_ryba,nalet,img_ryba-nalet,IIC,image,mismatch,congruent,correct,0.6524326999933692
1001,img_osa,lalum,img_osa-lalum,III,image,mismatch,incongruent,correct,0.7694531
1001,winda,nalet,winda-nalet,OII,orthography,mismatch,incongruent,correct,0.7861132000107318
1001,butelka,uwa,butelka-uwa,OIC,orthography,mismatch,congruent,correct,0.6567953000048874
1001,img_palec,tobyla,img_palec-tobyla,ICC,image,match,congruent,correct,0.6122028999961913
1001,img_kapelusz,izodo,img_kapelusz-izodo,IIC,image,mismatch,congruent,correct,0.4505625999881886
1001,img_homar,staca,img_homar-staca,III,image,mismatch,incongruent,correct,0.5259076999936951
1001,butelka,chepra,butelka-chepra,OCC,orthography,match,congruent,incorrect,1.2407923999999184
1001,ryba,alo,ryba-alo,OCI,orthography,match,incongruent,correct,0.5800070999976015
1001,img_gazeta,rocepra,img_gazeta-rocepra,ICI,image,match,incongruent,correct,0.7234625
1001,img_jajko,nalet,img_jajko-nalet,ICC,image,match,congruent,correct,0.4457431000046199
1001,img_krowa,lakob,img_krowa-lakob,IIC,image,mismatch,congruent,correct,0.5540601999964565
1001,dzwonek,josta,dzwonek-josta,OCI,orthography,match,incongruent,correct,0.4985175000037998
1001,ryba,nalet,ryba-nalet,OII,orthography,mismatch,incongruent,correct,0.6205939999927068
1001,krawat,tanek,krawat-tanek,OIC,orthography,mismatch,congruent,correct,0.7946314000000712
1001,koza,rojon,koza-rojon,OCC,orthography,match,congruent,correct,0.5611092000035569
1001,img_indyk,nanoch,img_indyk-nanoch,ICI,image,match,incongruent,correct,0.4154486000043107
1001,img_butelka,uwa,img_butelka-uwa,III,image,mismatch,incongruent,correct,0.6947518999950262
1001,img_silnik,fena,img_silnik-fena,III,image,mismatch,incongruent,correct,0.6341753
1001,img_ryba,alo,img_ryba-alo,ICC,image,match,congruent,correct,0.3833392
1001,img_parasol,izodo,img_parasol-izodo,IIC,image,mismatch,congruent,correct,0.6390609000081895
1001,osa,sawiko,osa-sawiko,OCC,orthography,match,congruent,incorrect,0.5086989999981597
1001,gazeta,techar,gazeta-techar,OIC,orthography,mismatch,congruent,correct,0.5826149000058649
1001,lotnisko,alo,lotnisko-alo,OII,orthography,mismatch,incongruent,correct,0.6362169000058202
1001,img_silnik,prelata,img_silnik-prelata,ICI,image,match,incongruent,correct,0.7780566000001272
1001,wyspa,owiza,wyspa-owiza,OCI,orthography,match,incongruent,correct,0.6346359000017401
1001,img_homar,deba,img_homar-deba,ICI,image,match,incongruent,correct,0.3903449
1001,img_lotnisko,alo,img_lotnisko-alo,IIC,image,mismatch,congruent,correct,0.6537943000002997
1001,kolano,obir,kolano-obir,OII,orthography,mismatch,incongruent,correct,0.6988489999930607
1001,img_lustro,waben,img_lustro-waben,ICC,image,match,congruent,correct,0.5575582000019494
1001,palec,tobyla,palec-tobyla,OCI,orthography,match,incongruent,correct,0.4612176000082399
1001,img_gazeta,techar,img_gazeta-techar,III,image,mismatch,incongruent,correct,0.6503907000005711
1001,indyk,rojon,indyk-rojon,OIC,orthography,mismatch,congruent,correct,0.8391611999977613
1001,kotwica,ezaja,kotwica-ezaja,OCC,orthography,match,congruent,correct,0.7312307
1001,img_ucho,stotewal,img_ucho-stotewal,IIC,image,mismatch,congruent,correct,0.6853568999940762
1001,papryka,sawiko,papryka-sawiko,OIC,orthography,mismatch,congruent,correct,0.5431933999934699
1001,img_samolot,pakosta,img_samolot-pakosta,ICI,image,match,incongruent,correct,0.6639712000032887
1001,img_papuga,wema,img_papuga-wema,ICC,image,match,congruent,correct,0.4760561000002781
1001,fartuch,ota,fartuch-ota,OII,orthography,mismatch,incongruent,correct,0.6638789999997243
1001,foka,nedonim,foka-nedonim,OCI,orthography,match,incongruent,correct,0.5009881000005407
1001,img_cytryna,pakosta,img_cytryna-pakosta,III,image,mismatch,incongruent,correct,0.9512994
1001,silnik,prelata,silnik-prelata,OCC,orthography,match,congruent,correct,0.4947221000038553
1001,img_papryka,lalum,img_papryka-lalum,ICI,image,match,incongruent,correct,0.4081236000056378
1001,papryka,lalum,papryka-lalum,OCC,orthography,match,congruent,correct,0.4072879999876022
1001,parasol,ota,parasol-ota,OCI,orthography,match,incongruent,correct,0.4772691999969538
1001,img_fartuch,izodo,img_fartuch-izodo,ICC,image,match,congruent,correct,0.7287122999987332
1001,dynia,tobyla,dynia-tobyla,OII,orthography,mismatch,incongruent,correct,0.6825247999950079
